Team Name,Games,Wins,Qualifying Wins,Qualifying Losses,NPI,Rank,Old Rank,Rank Change
Coe,31,23,15,8,58.396277,52,52,0
Ohio Northern,29,20,19,8,58.289734,53,53,0
North Central (IL),30,22,18,8,58.166776,54,54,0
Lasell,35,30,20,5,58.138948,55,55,0
Whittier,28,19,15,9,58.071424,56,56,0
Bridgewater (VA),29,22,18,7,58.023071,57,57,0
Edgewood,33,24,17,9,57.709373,58,58,0
Allegheny,31,26,19,5,57.658942,59,59,0
UMass Dartmouth,28,22,15,6,57.598911,60,60,0
Wesleyan (CT),25,14,13,10,57.406321,61,61,0
Tufts,24,13,13,11,57.348763,62,62,0
Plymouth St.,27,23,17,4,57.343093,63,63,0
Stockton,29,21,15,7,57.302901,64,64,0
St. Catherine,29,20,16,9,57.247293,65,65,0
Trinity (CT),25,19,13,6,57.042119,66,66,0
Dubuque,32,23,20,9,56.975500,67,67,0
Mount Union,29,19,16,10,56.951366,68,68,0
Texas Lutheran,25,17,15,8,56.850158,69,70,+1
Bowdoin,23,14,12,9,56.843613,70,69,-1
John Carroll,30,20,17,10,56.706556,71,71,0
Brandeis,30,16,16,14,56.478473,72,72,0
Trine,25,19,13,6,56.318586,73,73,0
Cornell College,30,19,14,11,56.259835,74,74,0
Montclair St.,29,21,16,8,56.163755,75,75,0
Salem (NC),33,27,16,6,56.076118,76,76,0
Hanover,28,20,17,8,56.036013,77,77,0
Pomona-Pitzer,28,17,15,11,55.963990,78,78,0
Scranton,31,17,15,12,55.955098,79,79,0
Methodist,29,23,18,6,55.915191,80,80,0
UC Santa Cruz,27,14,13,11,55.867721,81,81,0
Williams,24,13,13,10,55.826591,82,82,0
Susquehanna,32,19,17,11,55.821255,83,83,0
Hartwick,22,19,12,3,55.645273,84,84,0
Carthage,29,17,15,12,55.619471,85,85,0
Colorado Col.,27,17,12,9,55.575102,86,86,0
Wittenberg,27,17,16,9,55.422759,87,87,0
Saint Benedict,26,15,14,11,55.390977,88,88,0
St. John Fisher,29,21,16,8,55.333984,89,89,0
Mary Hardin-Baylor,28,20,17,8,55.324780,90,90,0
Misericordia,34,25,19,9,55.208850,91,91,0
Neb. Wesleyan,27,19,15,8,55.172482,92,92,0
Berry,29,16,15,11,55.136697,93,93,0
Bethel (MN),29,20,16,9,55.134901,94,94,0
Ohio Wesleyan,28,16,16,11,55.033170,95,95,0
Wis.-Superior,32,24,17,8,54.944067,96,96,0
Millsaps,26,20,16,6,54.905060,97,98,+1
Lancaster Bible,29,22,16,7,54.904715,98,97,-1
Haverford,26,13,12,12,54.843542,99,99,0
St. Olaf,29,19,17,10,54.673844,100,100,0
Coast Guard,28,17,16,10,54.642828,101,101,0
Austin,33,21,17,12,54.622413,102,102,0
Baldwin Wallace,28,14,13,12,54.483624,103,103,0
Manchester,28,18,18,10,54.428354,104,104,0
Mt. St. Joseph,26,13,13,13,54.375048,105,106,+1
Lynchburg,30,18,16,10,54.368833,106,105,-1
Southern Va.,33,22,19,10,54.322587,107,107,0
Puget Sound,24,16,14,8,54.258986,108,108,0
Hardin-Simmons,23,14,13,8,54.248288,109,109,0
Wartburg,30,18,18,12,54.202444,110,110,0
Asbury,24,19,13,5,54.188838,111,111,0
UMass Boston,27,18,16,8,54.175821,112,112,0
Suffolk,29,22,17,7,54.170766,113,113,0
Pacific Lutheran,26,18,16,8,54.117748,114,114,0
Wellesley,21,12,11,8,54.079944,115,115,0
Emerson,29,14,14,13,54.005536,116,116,0
Aurora,32,19,17,13,53.969853,117,117,0
