,team,elo_rating,wins,games
60,Lancaster Bible,1775.7477935372935,25,32
61,Gwynedd Mercy,1395.5321535226458,17,28
62,Arcadia,1495.600562361282,15,30
63,Immaculata,1170.4723594718544,3,17
64,Penn St. Brandywine,1267.0632622675741,6,24
65,Marymount (VA),1665.0212085040357,12,33
66,Geneva,1253.348276311241,9,29
67,William Peace,1645.804314443585,18,34
68,Neumann,1471.8892096738289,13,32
69,MIT,2039.078907780748,31,32
70,Chris. Newport,1895.6114859536813,24,33
71,Wm. Paterson,1879.0470581736336,22,31
72,Juniata,2112.5518309496615,29,29
73,Mary Washington,1562.3710733753583,14,31
74,Kean,1544.9012025035138,17,31
75,Va. Wesleyan,1898.3574533188657,26,31
76,Mount Mary,1086.6082618920618,3,24
77,Marian (WI),1361.15255403409,11,30
78,Salisbury,1761.1779857794463,24,30
79,Catholic,1547.1865588509363,15,36
80,UC Santa Cruz,1665.30553893836,15,29
81,Whitworth,1931.3290532142946,26,28
82,Pacific Lutheran,1707.6074531755714,18,26
83,Augustana (IL),1458.1815544423969,10,30
84,Concordia Wisconsin,1769.416037401956,18,29
85,Carroll (WI),1429.6820115731277,19,33
86,Dominican (IL),1458.220646566223,12,25
87,Adrian,1427.430477576012,7,20
88,Carthage,1726.5566814381166,17,29
89,Macalester,1432.4812355099727,13,28
90,Hamline,1271.1104022898196,9,28
91,Elmhurst,1592.7362429297527,14,26
92,Southwestern (TX),1746.703431564648,23,29
93,Aurora,1679.877669925575,19,32
94,Ill. Wesleyan,1884.6719670247776,22,31
95,Mt. St. Joseph,1673.1139678752706,13,26
96,Millikin,1896.0067397487273,29,34
97,Colorado Col.,1637.7704574655625,17,27
98,Transylvania,1926.4136564141504,22,29
99,North Central (IL),1760.5808009821426,22,30
100,Carleton,1423.1167378735238,13,26
101,St. Olaf,1553.1121276251915,19,29
102,Wheaton (IL),1604.0267487547328,15,29
103,Spalding,1361.4767055865836,12,28
104,Asbury,1640.768560392083,21,28
105,Wooster,1273.162942278739,12,30
106,Trine,1669.8822840450102,22,28
107,Belhaven,1304.7105721019973,12,29
108,Rhodes,1508.5196323641728,14,28
109,Covenant,1707.5371584968434,22,34
110,Wilmington (OH),1412.7404988290994,6,26
111,Huntingdon,1590.9000690684932,16,36
112,Pfeiffer,1183.1835653958974,5,30
113,Maryville (TN),1502.1508143578967,21,33
114,Hanover,1591.9987807333873,21,29
115,Brevard,1395.4694419139098,15,29
116,Piedmont,1294.87453412848,6,25
117,Oglethorpe,1478.597081263035,13,29
118,Endicott,1881.6265656088672,22,29
119,WPI,1327.5162152071268,7,26
120,Gordon,1441.471225068372,8,21
121,Lasell,1863.047916315705,30,35
122,U New England,1633.801504804209,19,26
123,St. Joseph's (ME),1540.03386917959,15,32
124,Wentworth,1705.2336052181313,18,29
