team,npi_0,npi_1,npi_2
Buena Vista,43.460363362307355,45.509715497124596,44.01313767351881
Buffalo St.,65.83724901316859,59.99888538099345,51.870587330032734
CCNY,46.357689707219095,42.50763783169577,44.212644609634026
CWRU,52.7255053290803,47.27914330437877,53.58671748504968
Cairn,51.98414280458329,43.2860871043733,49.621109459548855
Cal Lutheran,49.88420101833107,49.46646192325301,40.66663141441521
Caltech,42.98445523465626,52.760656849719595,50.71663892135971
Calvin,49.7779215839924,52.304255242060435,56.8860032811266
Capital,45.02252914037983,49.74457108330499,52.64003969680157
Carleton,52.36676494229762,48.721338529222905,48.096221493321465
Carlow,45.873119065384394,39.386025148421375,50.792641622757415
Carnegie Mellon,57.251568148773366,62.123291702926934,53.215235071680134
Carroll (WI),46.54244166427642,47.59728527222949,46.05315426514509
Carthage,50.77549041978555,58.86343796318268,58.42929812760078
Catholic,60.816208406417445,49.62494137183211,50.44809091341304
Cedar Crest,40.91856099888662,45.732647678587604,48.5171273486677
Centenary (LA),38.855984902028055,29.71418229645866,46.33263536330681
Centenary (NJ),43.61279426780536,40.123793545000744,36.805905537274455
Central (IA),29.854686113649514,51.86041576989319,53.31105918160056
Centre,53.15838199205278,52.516708745543255,49.13787436418667
Chapman,48.03432493850625,54.372427040195866,44.62424527551283
Chatham,44.69198897262221,56.496052963005006,39.379385833453476
Chris. Newport,53.07310138067283,59.73811462971626,51.88014257540279
Claremont-M-S,56.39414708814911,54.11305727310914,48.205935617110185
Clark (MA),57.460520852426555,47.56710026591181,49.31152056624883
Clarkson,52.55925425251249,57.54028513750933,51.59363534376963
Coast Guard,50.89786096494906,44.7075460132251,54.23043880525488
Coe,55.60065052560024,50.13648614541927,53.234869648607635
Colby,60.78798849972799,59.419995049220745,66.54586901764091
Colby-Sawyer,53.46058202506283,46.607647918977634,53.16985466410532
Colorado Col.,58.57035373025579,47.660215784746164,47.3278803072626
Concordia (TX),45.022429675212855,43.88003304588867,46.13394309634515
Concordia Chicago,38.57770395652094,49.56476374592768,46.10451362486159
Concordia Wisconsin,55.63974977488904,55.88976503944857,56.787300694716606
Concordia-M'head,37.31858735059941,39.36667000849798,45.10623565671776
Connecticut Col.,50.93901341366304,61.83771539603391,48.732113241658794
Cornell College,56.4334417815173,45.32514127303492,58.06208263578239
Cortland,57.99568792459424,67.75834391234757,52.774419672055664
Covenant,54.35661535916351,53.55818851282992,57.37862448591794
Crown (MN),42.93985566800347,34.22061669451008,50.105115753508876
Curry,40.30782076613041,41.60091888747128,43.17306874968161
Dallas,40.68668787874591,44.83492356893633,38.76572754703306
DePauw,50.01992650852362,45.43163296767341,52.750866446592
DeSales,47.98941062115101,56.21797916131429,49.43858934393097
Dean,52.06753641894286,43.311010810883474,41.11908731266709
Delaware Valley,39.61759322004562,52.6608807300642,47.14213731778775
Denison,46.71378600178168,54.2607378982969,46.78051148173354
